nombre_ies;codigo_ies;codigo_sede;nombre_sede;codigo_comuna;nombre_comuna;codigo_region;nombre_region;n_sedes
UNIVERSIDAD LA REPUBLICA;16;8;SEDE LOS ANGELES;08301;Los Angeles;08;Biobío;11
UNIVERSIDAD LA REPUBLICA;16;9;SEDE ANTOFAGASTA;02101;Antofagasta;02;Antofagasta;11
UNIVERSIDAD SEK;17;1;SEDE SANTIAGO CENTRO;13101;Santiago;13;Metropolitana de Santiago;3
UNIVERSIDAD SEK;17;2;SEDE PROVIDENCIA;13123;Providencia;13;Metropolitana de Santiago;3
UNIVERSIDAD SEK;17;3;SEDE PARQUE ARRIETA;13122;Peñalolén;13;Metropolitana de Santiago;3
UNIVERSIDAD DE LAS AMERICAS;19;1;CAMPUS PROVIDENCIA;13123;Providencia;13;Metropolitana de Santiago;7
UNIVERSIDAD DE LAS AMERICAS;19;2;CAMPUS LA FLORIDA;13110;La Florida;13;Metropolitana de Santiago;7
UNIVERSIDAD DE LAS AMERICAS;19;3;CAMPUS MAIPU;13119;Maipú;13;Metropolitana de Santiago;7
UNIVERSIDAD DE LAS AMERICAS;19;4;CAMPUS SANTIAGO CENTRO;13101;Santiago;13;Metropolitana de Santiago;7
UNIVERSIDAD DE LAS AMERICAS;19;5;SEDE CONCEPCION;08101;Concepción;08;Biobío;7
UNIVERSIDAD DE LAS AMERICAS;19;6;SEDE VIÑA DEL MAR;05109;Viña del Mar;05;Valparaíso;7
UNIVERSIDAD DE LAS AMERICAS;19;9;CAMPUS MELIPILLA;13501;Melipilla;13;Metropolitana de Santiago;7
UNIVERSIDAD ANDRES BELLO;20;1;CASA CENTRAL (SANTIAGO);13101;Santiago;13;Metropolitana de Santiago;4
UNIVERSIDAD ANDRES BELLO;20;2;SEDE CASONA DE LAS CONDES;13114;Las Condes;13;Metropolitana de Santiago;4
UNIVERSIDAD ANDRES BELLO;20;3;SEDE VIÑA DEL MAR;05109;Viña del Mar;05;Valparaíso;4
UNIVERSIDAD ANDRES BELLO;20;4;SEDE CONCEPCION;08101;Concepción;08;Biobío;4
UNIVERSIDAD DE VIÑA DEL MAR;22;1;CASA CENTRAL (VIÑA DEL MAR);05109;Viña del Mar;05;Valparaíso;1
UNIVERSIDAD ADOLFO IBAÑEZ;23;1;CASA CENTRAL (VIÑA DEL MAR);05109;Viña del Mar;05;Valparaíso;4
UNIVERSIDAD ADOLFO IBAÑEZ;23;2;SEDE PEÑALOLEN;13122;Peñalolén;13;Metropolitana de Santiago;4
UNIVERSIDAD ADOLFO IBAÑEZ;23;3;SEDE PRESIDENTE ERRAZURIZ;13114;Las Condes;13;Metropolitana de Santiago;4
UNIVERSIDAD ADOLFO IBAÑEZ;23;4;SEDE VITACURA;13132;Vitacura;13;Metropolitana de Santiago;4
UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION - UNIACC;26;1;CASA CENTRAL (SANTIAGO);13123;Providencia;13;Metropolitana de Santiago;1
UNIVERSIDAD AUTONOMA DE CHILE;31;1;CASA CENTRAL (TEMUCO);09101;Temuco;09;La Araucanía;4
UNIVERSIDAD AUTONOMA DE CHILE;31;2;SEDE TALCA;07101;Talca;07;Maule;4
UNIVERSIDAD AUTONOMA DE CHILE;31;3;CAMPUS EL LLANO;13130;San Miguel;13;Metropolitana de Santiago;4
UNIVERSIDAD AUTONOMA DE CHILE;31;4;CAMPUS PROVIDENCIA;13123;Providencia;13;Metropolitana de Santiago;4
UNIVERSIDAD DE LOS ANDES;34;1;CASA CENTRAL (SANTIAGO);13114;Las Condes;13;Metropolitana de Santiago;1
UNIVERSIDAD ADVENTISTA DE CHILE;38;1;CASA CENTRAL (CHILLAN);16101;Chillán;16;Ñuble;1
UNIVERSIDAD SAN SEBASTIAN;39;2;SEDE CONCEPCION;08101;Concepción;08;Biobío;5
UNIVERSIDAD SAN SEBASTIAN;39;5;SEDE OSORNO;10301;Osorno;10;Los Lagos;5
UNIVERSIDAD SAN SEBASTIAN;39;6;SEDE SANTIAGO;13101;Santiago;13;Metropolitana de Santiago;5
UNIVERSIDAD SAN SEBASTIAN;39;7;SEDE VALDIVIA;14101;Valdivia;14;Los Ríos;5
UNIVERSIDAD SAN SEBASTIAN;39;8;SEDE PATAGONIA (PUERTO MONTT);10101;Puerto Montt;10;Los Lagos;5
UNIVERSIDAD CATOLICA CARDENAL RAUL SILVA HENRIQUEZ;42;1;CASA CENTRAL (SANTIAGO);13101;Santiago;13;Metropolitana de Santiago;1
UNIVERSIDAD DEL DESARROLLO;45;1;CASA CENTRAL (CONCEPCION);08101;Concepción;08;Biobío;3
UNIVERSIDAD DEL DESARROLLO;45;2;SEDE SANTIAGO (LAS CONDES);13114;Las Condes;13;Metropolitana de Santiago;3
UNIVERSIDAD DEL DESARROLLO;45;4;SEDE SANTIAGO (S.C. APOQUINDO);13114;Las Condes;13;Metropolitana de Santiago;3
UNIVERSIDAD DE ACONCAGUA;46;11;SEDE LOS ANDES;05301;Los Andes;05;Valparaíso;11
UNIVERSIDAD DE ACONCAGUA;46;12;SEDE MACHALI;06108;Machalí;06;Libertador General Bernardo O'Higgins;11
UNIVERSIDAD DE ACONCAGUA;46;14;SEDE TEMUCO;09101;Temuco;09;La Araucanía;11
UNIVERSIDAD DE ACONCAGUA;46;16;SEDE PUERTO MONTT;10101;Puerto Montt;10;Los Lagos;11
UNIVERSIDAD DE ACONCAGUA;46;17;SEDE ANCUD;10202;Ancud;10;Los Lagos;11
UNIVERSIDAD DE ACONCAGUA;46;19;SEDE SAN FELIPE;05701;San Felipe;05;Valparaíso;11
UNIVERSIDAD DE ACONCAGUA;46;23;SEDE RANCAGUA;06101;Rancagua;06;Libertador General Bernardo O'Higgins;11
UNIVERSIDAD DE ACONCAGUA;46;2;SEDE VIÑA DEL MAR;05109;Viña del Mar;05;Valparaíso;11
UNIVERSIDAD DE ACONCAGUA;46;4;SEDE LA SERENA;04101;La Serena;04;Coquimbo;11
UNIVERSIDAD DE ACONCAGUA;46;5;SEDE SANTIAGO;13101;Santiago;13;Metropolitana de Santiago;11
UNIVERSIDAD DE ACONCAGUA;46;9;SEDE CALAMA;02201;Calama;02;Antofagasta;11
UNIVERSIDAD LOS LEONES;48;4;CASA CENTRAL (SANTIAGO);13101;Santiago;13;Metropolitana de Santiago;1
UNIVERSIDAD BERNARDO O'HIGGINS;50;1;CASA CENTRAL (SANTIAGO);13101;Santiago;13;Metropolitana de Santiago;2
UNIVERSIDAD BERNARDO O'HIGGINS;50;2;CAMPUS RONDIZZONI;13101;Santiago;13;Metropolitana de Santiago;2
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;10;SEDE CURICO;07301;Curicó;07;Maule;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;11;SEDE TALCA;07101;Talca;07;Maule;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;12;SEDE CHILLAN;16101;Chillán;16;Ñuble;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;13;SEDE CONCEPCION - TALCAHUANO;08110;Talcahuano;08;Biobío;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;14;SEDE TEMUCO;09101;Temuco;09;La Araucanía;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;15;SEDE VALDIVIA;14101;Valdivia;14;Los Ríos;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;16;SEDE OSORNO;10301;Osorno;10;Los Lagos;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;17;SEDE PUERTO MONTT;10101;Puerto Montt;10;Los Lagos;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;18;SEDE COYHAIQUE;11101;Coyhaique;11;Aysén del General Carlos Ibáñez del Campo;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;19;SEDE PUNTA ARENAS;12101;Punta Arenas;12;Magallanes y de la Antártica Chilena;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;1;SEDE ÑUÑOA;13120;Ñuñoa;13;Metropolitana de Santiago;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;21;SEDE APOQUINDO;13114;Las Condes;13;Metropolitana de Santiago;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;24;SEDE RENCA;13128;Renca;13;Metropolitana de Santiago;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;25;SEDE SANTIAGO CENTRO;13101;Santiago;13;Metropolitana de Santiago;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;26;SEDE MAIPU;13119;Maipú;13;Metropolitana de Santiago;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;2;SEDE ARICA;15101;Arica;15;Arica y Parinacota;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;32;SEDE SANTIAGO SUR;13118;Macul;13;Metropolitana de Santiago;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;33;SEDE LOS ANGELES;08301;Los Angeles;08;Biobío;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;34;SEDE PUENTE ALTO;13201;Puente Alto;13;Metropolitana de Santiago;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;3;SEDE IQUIQUE;01101;Iquique;01;Tarapacá;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;4;SEDE CALAMA;02201;Calama;02;Antofagasta;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;5;SEDE ANTOFAGASTA;02101;Antofagasta;02;Antofagasta;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;6;SEDE COPIAPO;03101;Copiapó;03;Atacama;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;7;SEDE LA SERENA;04101;La Serena;04;Coquimbo;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;8;SEDE VALPARAISO;05101;Valparaíso;05;Valparaíso;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;9;SEDE RANCAGUA;06101;Rancagua;06;Libertador General Bernardo O'Higgins;26
UNIVERSIDAD MIGUEL DE CERVANTES;68;1;CASA CENTRAL (SANTIAGO);13101;Santiago;13;Metropolitana de Santiago;1
UNIVERSIDAD ALBERTO HURTADO;69;1;CASA CENTRAL (SANTIAGO);13101;Santiago;13;Metropolitana de Santiago;1
UNIVERSIDAD DE CHILE;70;1;SANTIAGO;13101;Santiago;13;Metropolitana de Santiago;1
UNIVERSIDAD DE SANTIAGO DE CHILE;71;1;CASA CENTRAL (SANTIAGO);13106;Estación Central;13;Metropolitana de Santiago;1
UNIVERSIDAD DE SANTIAGO DE CHILE (* CARRERA EN CONVENIO U. IBEROAMERICANA);71;1;CASA CENTRAL (SANTIAGO);13106;Estación Central;13;Metropolitana de Santiago;1
UNIVERSIDAD DE VALPARAISO;72;1;CASA CENTRAL (VALPARAISO);05101;Valparaíso;05;Valparaíso;3
UNIVERSIDAD DE VALPARAISO;72;2;CAMPUS SAN FELIPE;05701;San Felipe;05;Valparaíso;3
UNIVERSIDAD DE VALPARAISO;72;5;CAMPUS SANTIAGO;13101;Santiago;13;Metropolitana de Santiago;3
UNIVERSIDAD DE ANTOFAGASTA;73;1;CASA CENTRAL (ANTOFAGASTA);02101;Antofagasta;02;Antofagasta;2
UNIVERSIDAD DE ANTOFAGASTA;73;2;SEDE CAMPUS COLOSO;02101;Antofagasta;02;Antofagasta;2
UNIVERSIDAD DE LA SERENA;74;1;LA SERENA;04101;La Serena;04;Coquimbo;2
