nombre_ies;codigo_ies;codigo_sede;nombre_sede;region_sede;provincia_sede;comuna_sede;n_sedes
UNIVERSIDAD LA REPUBLICA;16;1;SEDE SANTIAGO;REGION METROPOLITANA;SANTIAGO;SANTIAGO;11
UNIVERSIDAD LA REPUBLICA;16;20;SEDE CALAMA;REGION DE ANTOFAGASTA;EL LOA;CALAMA;11
UNIVERSIDAD LA REPUBLICA;16;22;SEDE TALCA;REGION DEL MAULE;TALCA;TALCA;11
UNIVERSIDAD LA REPUBLICA;16;24;SEDE COQUIMBO;REGION DE COQUIMBO;ELQUI;COQUIMBO;11
UNIVERSIDAD LA REPUBLICA;16;26;SEDE RANCAGUA;REGION DEL LIBERTADOR BERNARDO OHIGGINS;CACHAPOAL;RANCAGUA;11
UNIVERSIDAD LA REPUBLICA;16;27;SEDE ARICA;REGION DE ARICA Y PARINACOTA;ARICA;ARICA;11
UNIVERSIDAD LA REPUBLICA;16;28;SEDE TEMUCO;REGION DE LA ARAUCANIA;CAUTIN;TEMUCO;11
UNIVERSIDAD LA REPUBLICA;16;6;SEDE ÑUBLE;REGION DE ÑUBLE;DIGUILLIN;CHILLAN;11
UNIVERSIDAD LA REPUBLICA;16;8;SEDE LOS ANGELES;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;11
UNIVERSIDAD LA REPUBLICA;16;9;SEDE ANTOFAGASTA;REGION DE ANTOFAGASTA;ANTOFAGASTA;ANTOFAGASTA;11
UNIVERSIDAD SEK;17;1;SEDE SANTIAGO CENTRO;REGION METROPOLITANA;SANTIAGO;SANTIAGO;3
UNIVERSIDAD SEK;17;2;SEDE PROVIDENCIA;REGION METROPOLITANA;SANTIAGO;PROVIDENCIA;3
UNIVERSIDAD SEK;17;3;SEDE PARQUE ARRIETA;REGION METROPOLITANA;SANTIAGO;PEÑALOLEN;3
UNIVERSIDAD DE LAS AMERICAS;19;1;CAMPUS PROVIDENCIA;REGION METROPOLITANA;SANTIAGO;PROVIDENCIA;7
UNIVERSIDAD DE LAS AMERICAS;19;2;CAMPUS LA FLORIDA;REGION METROPOLITANA;SANTIAGO;LA FLORIDA;7
UNIVERSIDAD DE LAS AMERICAS;19;3;CAMPUS MAIPU;REGION METROPOLITANA;SANTIAGO;MAIPU;7
UNIVERSIDAD DE LAS AMERICAS;19;4;CAMPUS SANTIAGO CENTRO;REGION METROPOLITANA;SANTIAGO;SANTIAGO;7
UNIVERSIDAD DE LAS AMERICAS;19;5;SEDE CONCEPCION;REGION DEL BIOBIO;CONCEPCION;CONCEPCION;7
UNIVERSIDAD DE LAS AMERICAS;19;6;SEDE VIÑA DEL MAR;REGION DE VALPARAISO;VALPARAISO;VIÑA DEL MAR;7
UNIVERSIDAD DE LAS AMERICAS;19;9;CAMPUS MELIPILLA;REGION METROPOLITANA;MELIPILLA;MELIPILLA;7
UNIVERSIDAD ANDRES BELLO;20;1;CASA CENTRAL (SANTIAGO);REGION METROPOLITANA;SANTIAGO;SANTIAGO;4
