tipo;codigo_ies;nombre_ies;tipo_institucion_i;tipo_institucion_ii;tipo_institucion_iii;año;variable;subvariable;valor
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por insitución;Total Mujeres;2,10000000000000e+02
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por insitución;Total Hombres;3,19000000000000e+02
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por insitución;Total General;5,29000000000000e+02
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;Promedio de edad de los acádemicos;Promedio Edad Mujeres;4,32095238095238e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;Promedio de edad de los acádemicos;Promedio Edad Hombres;4,57178683385580e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;Promedio de edad de los acádemicos;Promedio Edad por institución;4,47221172022684e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° acádemicos por rango de edad - Mujeres;Menos de 35;3,40000000000000e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° acádemicos por rango de edad - Mujeres;Entre 35 y 44;9,60000000000000e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° acádemicos por rango de edad - Mujeres;Entre 45 y 54;5,30000000000000e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° acádemicos por rango de edad - Mujeres;Entre 55 64;2,30000000000000e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° acádemicos por rango de edad - Mujeres;Entre 65 y mas;4,00000000000000e+00
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° acádemicos por rango de edad - Mujeres;Sin información;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° académicos por rango de edad - Hombres;Menos de 35;3,60000000000000e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° académicos por rango de edad - Hombres;Entre 35 y 44;1,24000000000000e+02
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° académicos por rango de edad - Hombres;Entre 45 y 54;9,90000000000000e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° académicos por rango de edad - Hombres;Entre 55 y 64;4,60000000000000e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° académicos por rango de edad - Hombres;Entre 65 y más;1,40000000000000e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° académicos por rango de edad - Hombres;Sin información;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;Número de JCE de la institución que trabajan en 1 o más instituciones;En 1 institución;2,76000000000000e+02
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;Número de JCE de la institución que trabajan en 1 o más instituciones;En 2 instituciones;1,44000000000000e+02
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;Número de JCE de la institución que trabajan en 1 o más instituciones;En 3 o más instituciones;1,09000000000000e+02
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por nivel de formación;Doctor;8,00000000000000e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por nivel de formación;Magister;3,79000000000000e+02
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por nivel de formación;Especialidad médica u odontológica;1,00000000000000e+00
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por nivel de formación;Título Profesional;5,80000000000000e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por nivel de formación;Licenciatura;8,00000000000000e+00
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por nivel de formación;Técnico de Nivel Superior;1,00000000000000e+00
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por nivel de formación;Técnico de Nivel Medio;1,00000000000000e+00
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por nivel de formación;Licencia de Enseñanza Media;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por nivel de formación;Sin Título ni grado académico;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por nivel de formación;Sin información;1,00000000000000e+00
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Arica y Parinacota;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Tarapacá;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Antofagasta;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Atacáma;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Coquimbo;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Valparaíso;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región Metropolitana;5,29000000000000e+02
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de O'Higgins;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región del Maule;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región del Ñuble;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región del Bíobío;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de la Araucanía;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de los Ríos;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de los Lagos;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Aysén;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Magallanes y la Antártica;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Sin información;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por nacionalidad;Chileno;4,83000000000000e+02
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por nacionalidad;Extranjero;4,60000000000000e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;Promedio de horas acádemicas contratadas a la semana por académico;Promedio general de la institución;1,38370888468809e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;Promedio de horas acádemicas contratadas a la semana por académico;Promedio de la institución Mujeres;1,56931904761905e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;Promedio de horas acádemicas contratadas a la semana por académico;Promedio de la institución Hombres;1,26152037617555e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por rango de horas contratadas;Menos de 11;3,34000000000000e+02
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por rango de horas contratadas;Entre 11 y menos de 23;8,80000000000000e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por rango de horas contratadas;Entre 23 y menos de 39;2,70000000000000e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por rango de horas contratadas;Entre 39 y más;8,00000000000000e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por rango de horas contratadas;Sin información;NA
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de JCE por Institución;Total Mujeres;7,48993181818182e+01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de JCE por Institución;Total Hombres;9,14602272727273e+01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de JCE por Institución;Total General;1,66359545454546e+02
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;Promedio de Edad ponderado por JCE;Promedio de Edad Mujer;4,29957336667102e+01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;Promedio de Edad ponderado por JCE;Promedio de Edad Hombre;4,58918332608560e+01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;Promedio de Edad ponderado por JCE;Promedio de Edad por Institución;4,45879352224508e+01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° JCE por rango edad mujer;Menos de 35;1,05531818181818e+01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° JCE por rango edad mujer;Entre 35 y 44;3,73093181818182e+01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° JCE por rango edad mujer;Entre 45 y 54;2,19075000000000e+01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° JCE por rango edad mujer;Entre 55 y 64;4,73522727272727e+00
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° JCE por rango edad mujer;Entre 65 y mas;3,94090909090909e-01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° JCE por rango edad mujer;Sin información;NA
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° JCE por rango edad hombre;Menos de 35;1,05804545454545e+01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° JCE por rango edad hombre;Entre 35 y 44;3,64815909090909e+01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° JCE por rango edad hombre;Entre 45 y 54;2,48936363636364e+01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° JCE por rango edad hombre;Entre 55 y 64;1,49738636363636e+01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° JCE por rango edad hombre;Entre 65 y mas;4,53068181818182e+00
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° JCE por rango edad hombre;Sin información;NA
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de JCE de la institución que trabajan en 1 o más instituciones;En 1 institución;9,69029545454546e+01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de JCE de la institución que trabajan en 1 o más instituciones;En 2 instituciones;4,32709090909091e+01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de JCE de la institución que trabajan en 1 o más instituciones;En 3 o mas instituciones;2,61856818181818e+01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de JCE por nivel de formación;Doctor;2,23004545454545e+01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de JCE por nivel de formación;Magister;1,20013181818182e+02
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de JCE por nivel de formación;Esp. Med./Odontológica;1,06136363636364e-01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de JCE por nivel de formación;Título Profesional;2,02479545454545e+01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de JCE por nivel de formación;Licenciatura;2,85522727272727e+00
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de JCE por nivel de formación;Técnico de Nivel Superior;5,68181818181818e-01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de JCE por nivel de formación;Técnico de Nivel Medio;2,09545454545455e-01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de JCE por nivel de formación;Licencia de Enseñanza Media;NA
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de JCE por nivel de formación;Sin Título ni Grado;NA
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de JCE por nivel de formación;Sin información;5,88636363636364e-02
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Arica y Parinacota;NA
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región  de Tarapacá;NA
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Antofagasta;NA
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Atacama;NA
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Coquimbo;NA
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Valparaíso;NA
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región Metropolitana;1,66359545454546e+02
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de O'Higgins;NA
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región del Maule;NA
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región del Ñuble;NA
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región del Biobío;NA
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de la Araucanía;NA
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de los Ríos;NA
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de los Lagos;NA
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Aysén;NA
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Magallanes y la Artártica;NA
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Sin información;NA
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de JCE por nacionalidad;Chileno;1,53000454545455e+02
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de JCE por nacionalidad;Extranjero;1,33590909090909e+01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de JCE por rango de horas contratadas;Menos de 11;3,91831818181818e+01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de JCE por rango de horas contratadas;Entre 11 y menos de 23;3,02925000000000e+01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de JCE por rango de horas contratadas;Entre 23 y menos de 39;1,70654545454545e+01
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de JCE por rango de horas contratadas;Entre 39 y más;7,98184090909091e+01
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por insitución;Total Mujeres;5,83000000000000e+02
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por insitución;Total Hombres;6,61000000000000e+02
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por insitución;Total General;1,24400000000000e+03
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;Promedio de edad de los acádemicos;Promedio Edad Mujeres;4,26655231560892e+01
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;Promedio de edad de los acádemicos;Promedio Edad Hombres;4,59062027231467e+01
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;Promedio de edad de los acádemicos;Promedio Edad por institución;4,43874598070740e+01
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° acádemicos por rango de edad - Mujeres;Menos de 35;1,33000000000000e+02
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° acádemicos por rango de edad - Mujeres;Entre 35 y 44;2,23000000000000e+02
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° acádemicos por rango de edad - Mujeres;Entre 45 y 54;1,41000000000000e+02
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° acádemicos por rango de edad - Mujeres;Entre 55 64;7,00000000000000e+01
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° acádemicos por rango de edad - Mujeres;Entre 65 y mas;1,60000000000000e+01
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° acádemicos por rango de edad - Mujeres;Sin información;NA
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° académicos por rango de edad - Hombres;Menos de 35;1,24000000000000e+02
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° académicos por rango de edad - Hombres;Entre 35 y 44;1,96000000000000e+02
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° académicos por rango de edad - Hombres;Entre 45 y 54;1,86000000000000e+02
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° académicos por rango de edad - Hombres;Entre 55 y 64;1,02000000000000e+02
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° académicos por rango de edad - Hombres;Entre 65 y más;5,30000000000000e+01
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° académicos por rango de edad - Hombres;Sin información;NA
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;Número de JCE de la institución que trabajan en 1 o más instituciones;En 1 institución;9,03000000000000e+02
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;Número de JCE de la institución que trabajan en 1 o más instituciones;En 2 instituciones;2,45000000000000e+02
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;Número de JCE de la institución que trabajan en 1 o más instituciones;En 3 o más instituciones;9,60000000000000e+01
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por nivel de formación;Doctor;2,19000000000000e+02
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por nivel de formación;Magister;5,47000000000000e+02
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por nivel de formación;Especialidad médica u odontológica;1,82000000000000e+02
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por nivel de formación;Título Profesional;2,55000000000000e+02
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por nivel de formación;Licenciatura;3,90000000000000e+01
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por nivel de formación;Técnico de Nivel Superior;2,00000000000000e+00
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por nivel de formación;Técnico de Nivel Medio;NA
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por nivel de formación;Licencia de Enseñanza Media;NA
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por nivel de formación;Sin Título ni grado académico;NA
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por nivel de formación;Sin información;NA
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Arica y Parinacota;NA
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Tarapacá;NA
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Antofagasta;NA
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Atacáma;NA
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Coquimbo;NA
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Valparaíso;NA
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región Metropolitana;1,24400000000000e+03
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de O'Higgins;NA
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región del Maule;NA
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región del Ñuble;NA
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región del Bíobío;NA
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de la Araucanía;NA
Total;2;UNIVERSIDAD FINIS TERRAE;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por región en que se desempeña (orden geográfico);Región de los Ríos;NA
